Element	Level	Binding Energy
Sn	3p1/2	757.0
Sn	3p3/2	715.0
Sn	3d3/2	493.4
Sn	3d5/2	485.0
Sn	4s	137.0
Sn	4p	89.0
Sn	4d	25.0
Sb	3s	944.0
Sb	3p1/2	813.0
Sb	3p3/2	767.0
Sb	3d3/2	537.6
Sb	3d5/2	528.3
Sb	4s	153.0
Sb	4p	99.0
Sb	4d	33.0
Te	3s	1009.0
Te	3p1/2	871.0
Te	3p3/2	820.0
Te	3d3/2	583.5
Te	3d5/2	573.1
Te	4s	170.0
Te	4p	111.0
Te	4d	41.5
Te	4d3/2	42.0
Te	4d5/2	41.0
Te	5s	12.0
I	3s	1071.0
I	3p1/2	930.0
I	3p3/2	875.0
I	3d3/2	630.8
I	3d5/2	619.3
I	4s	187.0
I	4p	123.0
I	4d	50.0
I	4d3/2	51.0
I	4d5/2	49.0
I	5s	17.0
Xe	3s	1141.0
Xe	3p1/2	996.0
Xe	3p3/2	934.0
Xe	3d3/2	682.4
Xe	3d5/2	669.7
Xe	4s	207.0
Xe	4p	139.0
Xe	4d3/2	63.0
Xe	4d5/2	61.0
Xe	5s	17.0
Cs	3s	1219.0
Cs	3p1/2	1069.0
Cs	3p3/2	1002.0
Cs	3d3/2	740.3
Cs	3d5/2	726.4
Cs	4s	234.0
Cs	4p1/2	173.0
Cs	4p3/2	161.0
Cs	4d3/2	80.0
Cs	4d5/2	77.0
Cs	5s	25.0
Ba	3s	1292.0
Ba	3p1/2	1138.0
Ba	3p3/2	1064.0
Ba	3d3/2	795.9
Ba	3d5/2	780.6
Ba	4s	254.0
Ba	4p1/2	193.0
Ba	4p3/2	179.0
Ba	4d3/2	93.0
Ba	4d5/2	90.0
Ba	5s	31.0
Ba	5p	15.0
La	3p1/2	1208.0
La	3p3/2	1128.0
La	3d3/2	852.6
La	3d5/2	835.8
La	4s	275.0
La	4p1/2	213.0
La	4p3/2	197.0
La	4d3/2	106.0
La	4d5/2	103.0
La	5s	34.0
La	5p	17.0
Ce	3p1/2	1272.0
Ce	3p3/2	1184.0
Ce	3d3/2	901.9
Ce	3d5/2	883.8
Ce	4s	290.0
Ce	4p1/2	223.0
Ce	4p3/2	207.0
Ce	4d3/2	112.0
Ce	4d5/2	109.0
Ce	5s	36.0
Ce	5p	18.0
Pr	3p1/2	1339.0
Pr	3p3/2	1242.0
Pr	3d3/2	952.2
Pr	3d5/2	931.8
Pr	4s	305.0
Pr	4p1/2	234.0
Pr	4p3/2	218.0
Pr	4d	115.0
Pr	5s	38.0
Pr	5p	18.0
Nd	3p1/2	1301.0
Nd	3d3/2	1003.4
Nd	3d5/2	980.8
Nd	4s	320.0
Nd	4p1/2	245.0
Nd	4p3/2	228.0
Nd	4d	121.0
Nd	5s	39.0
Nd	5p	19.0
Pm	3d3/2	1060.0
Pm	3d5/2	1034.0
Pm	4s	337.0
Pm	4p1/2	264.0
Pm	4p3/2	242.0
Pm	4d	129.0
Pm	5s	38.0
Pm	5p	22.0
Sm	3d3/2	1107.9
Sm	3d5/2	1081.1
Sm	4s	349.0
Sm	4p1/2	283.0
Sm	4p3/2	250.0
Sm	4d	129.0
Sm	5s	41.0
Sm	5p	19.0
Eu	3d3/2	1155.4
Eu	3d5/2	1125.6
Eu	4s	363.0
Eu	4p1/2	289.0
Eu	4p3/2	255.0
Eu	4d	128.0
Eu	5s	39.0
Eu	5p	19.0
Gd	3d3/2	1218.0
Gd	3d5/2	1186.0
Gd	4s	378.0
Gd	4p1/2	291.0
Gd	4p3/2	272.0
Gd	4d	140.4
Gd	4f	8.0
Gd	5s	43.0
Gd	5p	21.0
Tb	3d3/2	1276.0
Tb	3d5/2	1241.0
Tb	4s	396.0
Tb	4p1/2	322.0
Tb	4p3/2	285.0
Tb	4d	146.0
Tb	4f	8.0
Tb	5s	45.0
Tb	5p	22.0
Dy	3d3/2	1333.0
Dy	3d5/2	1296.0
Dy	4s	417.0
Dy	4p1/2	337.0
Dy	4p3/2	297.0
Dy	4d	152.4
Dy	4f	8.0
Dy	5s	48.0
Dy	5p	23.0
Ho	3d3/2	1393.0
Ho	3d5/2	1352.0
Ho	4s	435.0
Ho	4p1/2	353.0
Ho	4p3/2	309.0
Ho	4d	159.6
Ho	4f	9.0
Ho	5s	49.0
Ho	5p1/2	30.0
Ho	5p3/2	24.0
Er	4s	451.0
Er	4p1/2	368.0
Er	4p3/2	321.0
Er	4d	167.3
Er	4f	9.0
Er	5s	52.0
Er	5p1/2	31.0
Er	5p3/2	24.0
Tm	4s	470.0
Tm	4p1/2	384.0
Tm	4p3/2	333.0
Tm	4d	175.4
Tm	4f	8.0
Tm	5s	53.0
Tm	5p1/2	32.0
Tm	5p3/2	25.0
Yb	4s	482.0
Yb	4p1/2	389.0
Yb	4p3/2	341.0
Yb	4d	182.4
Yb	4f	3.0
Yb	5s	51.0
Yb	5p1/2	30.0
Yb	5p3/2	24.0
Lu	4s	509.0
Lu	4p1/2	413.0
Lu	4p3/2	360.0
Lu	4d3/2	206.0
Lu	4d5/2	196.0
Lu	4f5/2	8.8
Lu	4f7/2	7.3
Lu	5s	57.0
Lu	5p1/2	34.0
Lu	5p3/2	27.0
Hf	4s	534.0
Hf	4p1/2	437.0
Hf	4p3/2	380.0
Hf	4d3/2	222.0
Hf	4d5/2	211.0
Hf	4f	15.0
Hf	4f5/2	16.0
Hf	4f7/2	14.3
Hf	5s	63.0
Hf	5p1/2	38.0
Hf	5p3/2	30.0
Ta	4s	563.0
Ta	4p1/2	463.0
Ta	4p3/2	401.0
Ta	4d3/2	238.0
Ta	4d5/2	226.0
Ta	4f	22.0
Ta	4f5/2	23.8
Ta	4f7/2	21.9
Ta	5s	69.0
Ta	5p1/2	43.0
Ta	5p3/2	33.0
W	4s	594.0
W	4p1/2	491.0
W	4p3/2	424.0
W	4d3/2	256.0
W	4d5/2	243.0
W	4f	32.0
W	4f5/2	33.6
W	4f7/2	31.4
W	5s	75.0
W	5p1/2	47.0
W	5p3/2	37.0
Re	4s	625.0
Re	4p1/2	518.0
Re	4p3/2	446.0
Re	4d3/2	274.0
Re	4d5/2	260.0
Re	4f5/2	42.7
Re	4f7/2	40.3
Re	5s	99.0
Os	4s	658.0
Os	4p1/2	548.0
Os	4p3/2	471.0
Os	4d3/2	293.0
Os	4d5/2	279.0
Os	4f5/2	53.4
Os	4f7/2	50.7
Os	5s	89.0
Os	5p	44.0
Ir	4s	692.0
Ir	4p1/2	578.0
Ir	4p3/2	495.0
Ir	4d3/2	312.0
Ir	4d5/2	297.0
Ir	4f5/2	63.9
Ir	4f7/2	60.9
Ir	5s	96.0
Ir	5p	48.0
Pt	4s	725.0
Pt	4p1/2	609.0
Pt	4p3/2	520.0
Pt	4d3/2	332.0
Pt	4d5/2	315.0
Pt	4f5/2	74.5
Pt	4f7/2	71.2
Pt	5s	103.0
Pt	5p	52.0
Au	4s	763.0
Au	4p1/2	643.0
Au	4p3/2	547.0
Au	4d3/2	353.0
Au	4d5/2	335.0
Au	4f5/2	87.7
Au	4f7/2	83.98
Au	5s	110.0
Au	5p1/2	74.0
Au	5p3/2	57.0
Hg	4s	805.0
Hg	4p1/2	682.0
Hg	4p3/2	579.0
Hg	4d3/2	381.0
Hg	4d5/2	361.0
Hg	4f5/2	105.1
Hg	4f7/2	101.0
Hg	5s	125.0
Hg	5p1/2	85.0
Hg	5p3/2	67.0
Hg	5d3/2	12.0
Hg	5d5/2	10.0
Tl	4s	847.0
Tl	4p1/2	720.0
Tl	4p3/2	610.0
Tl	4d3/2	406.0
Tl	4d5/2	385.0
Tl	4f5/2	122.1
Tl	4f7/2	117.7
Tl	5s	133.0
Tl	5p1/2	95.0
Tl	5p3/2	74.0
Tl	5d3/2	15.0
Tl	5d5/2	13.0
Pb	4s	893.0
Pb	4p1/2	762.0
Pb	4p3/2	644.0
Pb	4d3/2	434.0
Pb	4d5/2	412.0
Pb	4f	139.0
Pb	4f5/2	141.8
Pb	4f7/2	136.9
Pb	5s	150.0
Pb	5p1/2	107.0
Pb	5p3/2	84.0
Pb	5d3/2	21.0
Pb	5d5/2	18.0
Bi	4s	940.0
Bi	4p1/2	806.0
Bi	4p3/2	679.0
Bi	4d3/2	464.0
Bi	4d5/2	440.0
Bi	4f	160.0
Bi	4f5/2	162.3
Bi	4f7/2	157.0
Bi	5s	161.0
Bi	5p1/2	119.0
Bi	5p3/2	93.0
Bi	5d3/2	27.0
Bi	5d5/2	24.0
Th	4s	1330.0
Th	4p1/2	1170.0
Th	4p3/2	965.0
Th	4d3/2	713.0
Th	4d5/2	676.0
Th	4f	338.0
Th	4f5/2	342.5
Th	4f7/2	333.2
Th	5s	294.0
Th	5p1/2	234.0
Th	5p3/2	177.0
Th	5d3/2	93.0
Th	5d5/2	85.0
Th	6s	42.0
Th	6p1/2	25.0
Th	6p	17.0
U	4p1/2	1272.0
U	4p3/2	1043.0
U	4d3/2	779.0
U	4d5/2	736.0
U	4f	383.0
U	4f5/2	388.2
U	4f7/2	377.3
U	5s	322.0
U	5p1/2	260.0
U	5p3/2	195.0
U	5d3/2	103.0
U	5d5/2	94.0
U	6s	44.0
U	6p1/2	26.0
U	6p3/2	17.0
Np	4p1/2	1327.0
Np	4p3/2	1086.0
Np	4d3/2	816.0
Np	4d5/2	771.0
Np	4f5/2	414.0
Np	4f7/2	402.0
Np	5p	206.0
Np	5d	101.0
Np	6p1/2	29.0
Np	6p3/2	18.0
Pu	4p1/2	1121.0
Pu	4d3/2	850.0
Pu	4d5/2	802.0
Pu	4f5/2	439.0
Pu	4f7/2	427.0
Pu	5p	216.0
Pu	5d	105.0
Pu	6p1/2	31.0
Pu	6p3/2	18.0
Am	4d3/2	883.0
Am	4d5/2	832.0
Am	4f5/2	463.0
Am	4f7/2	449.0
Am	5s	351.0
Am	5p	216.0
Am	5d3/2	119.0
Am	5d5/2	109.0
Am	6p1/2	31.0
Am	6p3/2	18.0
Cm	4d3/2	919.0
Cm	4d5/2	865.0
Cm	4f5/2	487.0
Cm	4f7/2	473.0
Cm	5p	232.0
Cm	5d	113.0
Cm	6p1/2	32.0
Cm	6p3/2	18.0
Bk	4d3/2	958.0
Bk	4d5/2	901.0
Bk	4f5/2	514.0
Bk	4f7/2	498.0
Bk	5p	246.0
Bk	5d	120.0
Bk	6p1/2	34.0
Bk	6p3/2	18.0
Cf	4d3/2	994.0
Cf	4d5/2	933.0
Cf	4f5/2	541.0
Cf	4f7/2	523.0
Cf	5d	124.0
Cf	6p1/2	35.0
Cf	6p3/2	19.0
K	2p	295.3
Ca	2p	347.9
V	2p	514.7
Fe	2p	711.4
Cu	2p	939.3
Zn	2p	1029.5
Zn	3p	89.7
Ga	2p	1125.6
Ge	2p	1227.3
As	2p	1335.7
As	3p	142.7
Se	3p	165.0
Br	3p	184.3
Zr	3p	334.3
Nb	3p	366.0
Mo	3p	400.0
Tc	3p	431.7
Tc	3d	254.6
Ru	3p	469.3
Ru	3d	281.8
Rh	3p	505.0
Rh	3d	309.1
Pd	3p	542.0
Pd	3d	337.2
Ag	3p	583.3
Ag	3d	370.7
Cd	3p	629.3
In	3p	677.7
In	3d	446.9
Sn	3p	729.0
Sn	3d	488.4
Sb	3p	782.3
Sb	3d	532.0
Te	3p	837.0
Te	3d	577.3
I	3p	893.3
I	3d	623.9
Xe	3p	954.7
Xe	3d	674.8
Xe	4d	61.8
Cs	3p	1024.3
Cs	3d	732.0
Cs	4p	165.0
Cs	4d	78.2
Ba	3p	1088.7
Ba	3d	786.7
Ba	4p	183.7
Ba	4d	91.2
La	3p	1154.7
La	3d	842.5
La	4p	202.3
La	4d	104.2
Ce	3p	1213.3
Ce	3d	891.0
Ce	4p	212.3
Ce	4d	110.2
Pr	3p	1274.3
Pr	3d	940.0
Pr	4p	223.3
Nd	3d	989.8
Nd	4p	233.7
Pm	3d	1044.4
Pm	4p	249.3
Sm	3d	1091.8
Sm	4p	261.0
Eu	3d	1137.5
Eu	4p	266.3
Gd	3d	1198.8
Gd	4p	278.3
Tb	3d	1255.0
Tb	4p	297.3
Dy	3d	1310.8
Dy	4p	310.3
Ho	3d	1368.4
Ho	4p	323.7
Ho	5p	26.0
Er	4p	336.7
Er	5p	26.3
Tm	4p	350.0
Tm	5p	27.3
Yb	4p	357.0
Yb	5p	26.0
Lu	4p	377.7
Lu	4d	200.0
Lu	4f	7.9
Lu	5p	29.3
Hf	4p	399.0
Hf	4d	215.4
Hf	5p	32.7
Ta	4p	421.7
Ta	4d	230.8
Ta	5p	36.3
W	4p	446.3
W	4d	248.2
W	5p	40.3
Re	4p	470.0
Re	4d	265.6
Re	4f	41.3
Os	4p	496.7
Os	4d	284.6
Os	4f	51.9
Ir	4p	522.7
Ir	4d	303.0
Ir	4f	62.2
Pt	4p	549.7
Pt	4d	321.8
Pt	4f	72.6
Au	4p	579.0
Au	4d	342.2
Au	4f	85.6
Au	5p	62.7
Hg	4p	613.3
Hg	4d	369.0
Hg	4f	102.8
Hg	5p	73.0
Hg	5d	10.8
Tl	4p	646.7
Tl	4d	393.4
Tl	4f	119.6
Tl	5p	81.0
Tl	5d	13.8
Pb	4p	683.3
Pb	4d	420.8
Pb	5p	91.7
Pb	5d	19.2
Bi	4p	721.3
Bi	4d	449.6
Bi	5p	101.7
Bi	5d	25.2
Th	4p	1033.3
Th	4d	690.8
Th	5p	196.0
Th	5d	88.2
U	4p	1119.3
U	4d	753.2
U	5p	216.7
U	5d	97.6
U	6p	20.0
Np	4p	1166.3
Np	4d	789.0
Np	4f	407.1
Np	6p	21.7
Pu	4d	821.2
Pu	4f	432.1
Pu	6p	22.3
Am	4d	852.4
Am	4f	455.0
Am	5d	113.0
Am	6p	22.3
Cm	4d	886.6
Cm	4f	479.0
Cm	6p	22.7
Bk	4d	923.8
Bk	4f	504.9
Bk	6p	23.3
Cf	4d	957.4
Cf	4f	530.7
Cf	6p	24.3
